gamma,omega,T_star,lambda_star,P_T_star,J_star,K_star
0.01,0.02,17.59936977551906,0.5665503786884235,0.11966565668299445,0.5129402202316892,0.0907775168397148
0.01,0.2,18.158062380135288,0.14815932284736233,0.0499599810040621,0.44182842606413886,0.03020391455213205
0.01,0.5,18.54740607978251,0.10460791005447051,0.03843769263210204,0.42957533370599477,0.013816359228682604
0.2,0.02,20.07335419602091,0.5365854724756456,0.12395845492290816,7.924012066671313,0.09804529768843609
0.2,0.2,20.167507149401338,0.15367382439962274,0.05572375893028974,7.856002014888181,0.034469679055244264
0.2,0.5,19.81703599070071,0.10178590201262805,0.039679489802649355,7.840017338799994,0.01636865764346964
0.9,0.02,20.12562882948199,0.5438655039548791,0.12482994177876958,35.225535725565095,0.09820887000348105
0.9,0.2,19.889797838863274,0.14938806858195583,0.05395743968855023,35.15450697089927,0.033872324157367795
0.9,0.5,19.984241356265574,0.1348270170248086,0.05001992106882724,35.15003110494932,0.00911869089925918
1.5,0.02,20.184905628773613,0.5250354203782825,0.1230712543417437,58.62561202110436,0.0982616570030817
1.5,0.2,20.196958671357493,0.15376292259299934,0.05581025851356698,58.55869133968431,0.03453152578566035
1.5,0.5,20.21052230315421,0.10418012938425569,0.041090038614855,58.54437938755848,0.016669665058184426
3.5,0.02,19.87615735890993,0.5511167998111876,0.12487156691851041,136.62757226495398,0.0975358914854392
3.5,0.2,19.891843441674908,0.1393885467559897,0.05114932702975981,136.5532075799011,0.03366307675968776
3.5,0.5,19.867204875746513,0.11305163377135852,0.04329230952480281,136.54639898245517,0.014535797753462733
