gamma,omega,T_star,lambda_star,P_T_star,J_star,K_star
0.01,0.02,18.91023527874846,0.39255848720012276,0.12685582242656607,0.5174838353149193,0.11298662749800967
0.01,0.2,18.176579365621922,0.1549896345785997,0.09153934153172741,0.48336854313396305,0.06991973338760032
0.01,0.5,17.935333493765317,0.1001344230709138,0.07177979421027589,0.46415658178629127,0.049219263171850186
0.2,0.02,19.96071425883247,0.387143698830693,0.12795431507040614,7.92796977914087,0.11446509315141822
0.2,0.2,19.891024409677062,0.15394559380231176,0.09511963072209066,7.8952390381396444,0.07379030945605893
0.2,0.5,19.867312030116977,0.10002952792975295,0.07620862247537262,7.8763858593086695,0.053695332945211866
0.9,0.02,19.98941523741179,0.38458803548496723,0.12781422637906048,35.22781927072268,0.1145025102456237
0.9,0.2,19.956916962458827,0.1541244120155376,0.09530975340692745,35.19539346039006,0.07393085246570577
0.9,0.5,19.979086585609537,0.10022049886912816,0.07653921472532493,35.176558917018,0.05393988083977686
1.5,0.02,19.984514740325917,0.3870321847328245,0.12797866912752534,58.62799666755807,0.11449721704580965
1.5,0.2,19.981593046250527,0.1536949019988669,0.09524360993296165,58.595269044537616,0.07398369932256448
1.5,0.5,19.98126162566591,0.10026713744207448,0.07656446924289399,58.57659082843977,0.053944096828531324
3.5,0.02,20.00779377781057,0.38724129919775574,0.12802456403386533,136.62803518991328,0.11452853989147241
3.5,0.2,20.00297882363054,0.1538941904041832,0.09534422249471101,136.59534577510675,0.07402914283856792
3.5,0.5,19.98974139565067,0.10001292102323255,0.07647146809884164,136.5764898943688,0.05396565326274311
